,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,145_number_direct_competitors,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,62_frequency_only_services,103_number_own_fridges,24_burnout,172_supplier_frequency,163_number_high_perishable_products,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_
159,19.0106729,-98.2305224,1,0.0,3,2.0,2.0,5.0,1.0,1.0,1.0,8.0,2.0,1.0,7.0,0.0,no,yes,no
160,19.0114334,-98.2302237,1,0.0,3,2.0,2.0,5.0,1.0,1.0,1.0,8.0,2.0,1.0,7.0,0.0,no,no,no
161,19.0107948,-98.2300894,0,7.0,6,0.0,0.0,30.0,1.0,1.0,1.0,8.0,2.0,1.0,5.0,0.0,no,yes,yes
162,19.0106881,-98.2304922,1,7.0,4,0.0,0.0,30.0,1.0,1.0,1.0,8.0,2.0,1.0,5.0,0.0,no,no,yes
163,19.0102935,-98.2308249,0,5.0,2,1.0,1.0,1.0,0.0,1.0,1.0,8.0,5.0,1.0,1.0,0.0,yes,no,no
164,19.0159207,-98.2209671,3,4.0,2,3.0,3.0,0.0,0.0,1.0,1.0,8.0,4.0,7.0,3.0,20.0,yes,no,yes
165,19.019569042,-98.2614175604,2,2.0,0,7.0,6.0,4.0,0.0,1.0,1.0,5.0,2.0,4.0,3.0,7.0,no,no,no
166,19.0414927218,-98.2003207399,1,0.0,9,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,no,yes,no
167,19.041503,-98.2003333,0,2.0,1,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,yes,no,yes
168,19.0438759488,-98.2013914007,3,0.0,2,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,yes,yes,no
169,19.0423925413,-98.2018976699,0,0.0,5,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,no,no,no
